Identifier,Crime Type,Date/Time,Address,Agency
130012131,Vehicle Recovery,12/3/13 0:00,EL CAMINO REAL & HALFORD AV,Santa Clara City Police Department
13-06797,Theft,12/3/13 7:03,500 Block FAIRMONT AV,Mountain View Police Department
131203-0120,Theft,12/3/13 9:15,1500 Block WESSEX AV,Los Altos Police Department
131203-0125,Theft,12/3/13 10:13,1400 Block RICHARDSON AV,Los Altos Police Department
130009561,Theft from Vehicle,12/3/13 10:19,900 Block E EL CAMINO REAL,Sunnyvale Department of Public Safety
138000792,Theft,12/3/13 10:54,700 Block CHOPIN DR,Sunnyvale Department of Public Safety
131206-0360,Theft,12/3/13 11:30,1600 Block FALLEN LEAF LN,Los Altos Police Department
130009537,Theft,12/3/13 15:10,1300 Block ROSALIA AV,Sunnyvale Department of Public Safety
13-06807,Theft from Vehicle,12/3/13 18:39,1 Block W EL CAMINO REAL,Mountain View Police Department
130012166,Theft,12/4/13 0:00,MONROE ST & MONTICELLO WAY,Santa Clara City Police Department
13-06818,Theft,12/4/13 8:04,1000 Block CRESTVIEW DR,Mountain View Police Department
138000779,Theft,12/4/13 9:53,900 Block HENDERSON AV,Sunnyvale Department of Public Safety
131204-0236,Theft,12/4/13 12:00,900 Block AURA CT,Los Altos Police Department
138000770,Theft,12/4/13 15:45,100 Block E FREMONT AVE,Sunnyvale Department of Public Safety
130009603,Theft,12/4/13 15:59,700 Block E EL CAMINO REAL,Sunnyvale Department of Public Safety
130009611,Theft,12/4/13 21:36,300 Block PISMO TE,Sunnyvale Department of Public Safety
130012206,Theft,12/5/13 0:00,3200 Block MONROE ST,Santa Clara City Police Department
138000794,Theft,12/5/13 14:16,800 Block DWIGHT AVE,Sunnyvale Department of Public Safety
130009641,Theft from Vehicle,12/5/13 16:59,500 Block E EL CAMINO REAL,Sunnyvale Department of Public Safety
130009649,Assault,12/6/13 7:50,1200 Block ESTRADA TE,Sunnyvale Department of Public Safety
13-06853,Breaking & Entering,12/6/13 15:15,200 Block W EL CAMINO REAL,Mountain View Police Department
138000790,Theft,12/6/13 16:02,400 Block DE GUIGNE DR,Sunnyvale Department of Public Safety
130009671,Theft from Vehicle,12/6/13 21:38,1000 Block E EL CAMINO REAL,Sunnyvale Department of Public Safety
130009680,Assault,12/7/13 4:50,1200 Block SYCAMORE TE,Sunnyvale Department of Public Safety
130009681,Other Sexual Offense,12/7/13 7:17,800 Block DWIGHT AV,Sunnyvale Department of Public Safety
138000769,Theft from Vehicle,12/7/13 11:04,500 Block E REMINGTON DRIVE,Sunnyvale Department of Public Safety
130009683,Assault with Deadly Weapon,12/7/13 11:46,200 Block E MAUDE AV,Sunnyvale Department of Public Safety
130009685,Theft from Vehicle,12/7/13 11:46,100 Block E FREMONT AV,Sunnyvale Department of Public Safety
13-06864,Theft from Vehicle,12/7/13 12:00,1800 Block MIRAMONTE AV,Mountain View Police Department
130009693,Theft,12/7/13 16:10,700 Block SUNNYVALE SARATOGA RD,Sunnyvale Department of Public Safety
130009700,Theft,12/7/13 20:32,400 Block N MATHILDA AV,Sunnyvale Department of Public Safety
13-06875,Breaking & Entering,12/8/13 9:19,200 Block PAMELA DR,Mountain View Police Department
13-06874,Theft,12/8/13 9:48,1900 Block WILSON CT,Mountain View Police Department
130009714,Breaking & Entering,12/8/13 12:11,1100 Block HEATHERSTONE WY,Sunnyvale Department of Public Safety
13-06879,Breaking & Entering,12/8/13 13:28,200 Block PAMELA DR,Mountain View Police Department
130009718,Breaking & Entering,12/8/13 14:26,600 Block S BERNARDO AV,Sunnyvale Department of Public Safety
130009717,Theft,12/8/13 14:29,600 Block S FAIR OAKS AV,Sunnyvale Department of Public Safety
13-06883,Breaking & Entering,12/8/13 15:10,1300 Block CUERNAVACA CIR,Mountain View Police Department
13-06884,Breaking & Entering,12/8/13 17:45,1500 Block TYLER PARK WAY,Mountain View Police Department
138000768,Theft,12/8/13 18:01,200 Block W EL CAMINO REAL,Sunnyvale Department of Public Safety
130009725,Breaking & Entering,12/8/13 21:13,800 Block E EL CAMINO REAL,Sunnyvale Department of Public Safety
131209141,Theft,12/9/13 0:00,3700 Block EL CAMINO REAL,Santa Clara City Police Department
131209182,Breaking & Entering,12/9/13 0:00,3700 Block TAMARACK LN,Santa Clara City Police Department
131209207,Theft,12/9/13 0:00,1400 Block HALFORD AV,Santa Clara City Police Department
130012336,Theft,12/9/13 0:00,1400 Block HALFORD AV,Santa Clara City Police Department
131209178,Theft,12/9/13 0:00,3700 Block EL CAMINO REAL,Santa Clara City Police Department
130050859,Theft,12/9/13 0:00,3500 Block AGATE DR,Santa Clara City Police Department
130012323,Theft,12/9/13 0:00,3700 Block EL CAMINO REAL,Santa Clara City Police Department
130012331,Theft,12/9/13 0:00,3700 Block EL CAMINO REAL,Santa Clara City Police Department
130012330,Breaking & Entering,12/9/13 0:00,3700 Block TAMARACK LN,Santa Clara City Police Department
13-06888,Theft,12/9/13 7:38,1300 Block LLOYD WAY,Mountain View Police Department
13-06913,Theft,12/9/13 8:44,400 Block MAGRITTE WAY,Mountain View Police Department
138000766,Theft,12/9/13 9:12,1000 Block REED TER,Sunnyvale Department of Public Safety
13-06897,Theft,12/9/13 12:52,400 Block MAGRITTE WAY,Mountain View Police Department
130009740,Other Sexual Offense,12/9/13 13:26,1000 Block W IOWA AV,Sunnyvale Department of Public Safety
131200159-1,Theft,12/9/13 13:50,1 Block MONTICELLO CT.,Alexander City Police Department
130009745,Breaking & Entering,12/9/13 18:56,1000 Block ASTER AV,Sunnyvale Department of Public Safety
130009747,Breaking & Entering,12/9/13 20:41,300 Block N SUNNYVALE AV,Sunnyvale Department of Public Safety
130009751,Theft,12/9/13 22:18,1100 Block W EL CAMINO REAL,Sunnyvale Department of Public Safety
130012358,Breaking & Entering,12/10/13 0:00,3300 Block MONROE ST.,Santa Clara City Police Department
131210021,Breaking & Entering,12/10/13 0:00,3300 Block SCOTT BLVD,Santa Clara City Police Department
130050862,Theft,12/10/13 0:00,1400 Block HALFORD AVE,Santa Clara City Police Department
131210165,Theft,12/10/13 0:00,3700 Block EL CAMINO REAL,Santa Clara City Police Department
130012345,Other Sexual Offense,12/10/13 0:00,3200 Block MONROE ST,Santa Clara City Police Department
131210132,Theft,12/10/13 0:00,3700 Block EL CAMINO REAL,Santa Clara City Police Department
130012354,Theft,12/10/13 0:00,3700 Block EL CAMINO REAL,Santa Clara City Police Department
130012339,Breaking & Entering,12/10/13 0:00,3300 Block SCOTT BLVD,Santa Clara City Police Department
130012360,Theft,12/10/13 0:00,3700 Block EL CAMINO REAL,Santa Clara City Police Department
131210158,Breaking & Entering,12/10/13 0:00,3300 Block MONROE ST,Santa Clara City Police Department
131210037,Other Sexual Offense,12/10/13 0:00,3200 Block MONROE ST,Santa Clara City Police Department
130009767,Robbery,12/10/13 14:09,300 Block W EL CAMINO REAL,Sunnyvale Department of Public Safety
138000800,Theft,12/10/13 15:19,800 Block S WOLFE RD,Sunnyvale Department of Public Safety
138000799,Theft,12/10/13 23:25,N BAYVIEW AVE & BALSAM AVE,Sunnyvale Department of Public Safety
130012400,Theft,12/11/13 0:00,3700 Block EL CAMINO REAL,Santa Clara City Police Department
130012399,Theft,12/11/13 0:00,3700 Block EL CAMINO REAL,Santa Clara City Police Department
130012392,Theft,12/11/13 0:00,3700 Block EL CAMINO REAL,Santa Clara City Police Department
131211188,Theft,12/11/13 0:00,3700 Block EL CAMINO REAL,Santa Clara City Police Department
130012375,Theft,12/11/13 0:00,3600 Block FLORA VISTA AV,Santa Clara City Police Department
131211008,Vehicle Recovery,12/11/13 0:00,3300 Block EL CAMINO REAL,Santa Clara City Police Department
130012377,Theft,12/11/13 0:00,3300 Block SCOTT BLVD,Santa Clara City Police Department
131211088,Theft,12/11/13 0:00,3300 Block SCOTT BLVD,Santa Clara City Police Department
131211200,Theft,12/11/13 0:00,3700 Block EL CAMINO REAL,Santa Clara City Police Department
131211133,Theft,12/11/13 0:00,3700 Block EL CAMINO REAL,Santa Clara City Police Department
131211198,Theft,12/11/13 0:00,3700 Block EL CAMINO REAL,Santa Clara City Police Department
130012398,Theft,12/11/13 0:00,3700 Block EL CAMINO REAL,Santa Clara City Police Department
131211197,Theft,12/11/13 0:00,3700 Block EL CAMINO REAL,Santa Clara City Police Department
130012391,Theft,12/11/13 0:00,3500 Block EL CAMINO REAL,Santa Clara City Police Department
131211185,Theft,12/11/13 0:00,3500 Block EL CAMINO REAL,Santa Clara City Police Department
131211132,Assault,12/11/13 0:00,3200 Block SAN JUAN AV,Santa Clara City Police Department
131211194,Theft,12/11/13 0:00,3700 Block EL CAMINO REAL,Santa Clara City Police Department
131211190,Theft,12/11/13 0:00,3700 Block EL CAMINO REAL,Santa Clara City Police Department
130012397,Theft,12/11/13 0:00,3700 Block EL CAMINO REAL,Santa Clara City Police Department
130012382,Theft,12/11/13 0:00,3700 Block EL CAMINO REAL,Santa Clara City Police Department
130012401,Theft,12/11/13 0:00,3700 Block EL CAMINO REAL,Santa Clara City Police Department
13-06930,Theft,12/11/13 9:35,TARGET,Mountain View Police Department
130009791,Assault,12/11/13 12:17,500 Block E REMINGTON DR,Sunnyvale Department of Public Safety
130009795,Theft,12/11/13 14:07,600 Block KIFER RD,Sunnyvale Department of Public Safety
130009798,Assault,12/11/13 14:32,1300 Block ROSALIA AV,Sunnyvale Department of Public Safety
138000796,Theft from Vehicle,12/11/13 20:47,500 Block LAWRENCE EXPRESSWAY,Sunnyvale Department of Public Safety
130009807,Theft from Vehicle,12/11/13 21:49,700 Block E EL CAMINO REAL,Sunnyvale Department of Public Safety
130009808,Theft,12/11/13 23:00,700 Block E EL CAMINO REAL,Sunnyvale Department of Public Safety
130012430,Theft,12/12/13 0:00,2000 Block LAWRENCE CT,Santa Clara City Police Department
131212144,Theft,12/12/13 0:00,2000 Block LAWRENCE CT,Santa Clara City Police Department
13-06945,Theft from Vehicle,12/12/13 7:23,900 Block W EL CAMINO REAL,Mountain View Police Department
130009813,Theft,12/12/13 11:08,1200 Block E ARQUES AV,Sunnyvale Department of Public Safety
130009816,Breaking & Entering,12/12/13 11:40,200 Block JACKSON ST,Sunnyvale Department of Public Safety
130009820,Breaking & Entering,12/12/13 14:33,800 Block HENRIETTA AV,Sunnyvale Department of Public Safety
138000807,Theft,12/12/13 20:50,300 Block N MARY AVE,Sunnyvale Department of Public Safety
130009831,Breaking & Entering,12/12/13 21:00,900 Block HENDERSON AV,Sunnyvale Department of Public Safety
130009832,Theft from Vehicle,12/12/13 22:54,1200 Block S WOLFE RD,Sunnyvale Department of Public Safety
148000006,Theft from Vehicle,12/12/13 23:01,1200 Block KIFER RD,Sunnyvale Department of Public Safety
130009833,Theft from Vehicle,12/12/13 23:37,1000 Block E EL CAMINO REAL,Sunnyvale Department of Public Safety
131213050,Vehicle Recovery,12/13/13 0:00,3700 Block POINCIANA DR,Santa Clara City Police Department
131213009,Assault,12/13/13 0:00,3300 Block GRANADA AV,Santa Clara City Police Department
131213220,Theft,12/13/13 0:00,3400 Block EL CAMINO REAL,Santa Clara City Police Department
130012482,Theft,12/13/13 0:00,3400 Block EL CAMINO REAL,Santa Clara City Police Department
130009839,Other Sexual Offense,12/13/13 8:38,700 Block ALL AMERICA WY,Sunnyvale Department of Public Safety
130009850,Theft,12/13/13 15:04,700 Block ALL AMERICA WY,Sunnyvale Department of Public Safety
130009853,Theft,12/13/13 15:28,100 Block S SUNNYVALE AV,Sunnyvale Department of Public Safety
130009851,Theft from Vehicle,12/13/13 15:28,1000 Block E EL CAMINO REAL,Sunnyvale Department of Public Safety
138000806,Theft from Vehicle,12/13/13 17:13,1200 Block S WOLFE RD,Sunnyvale Department of Public Safety
130009854,Theft from Vehicle,12/13/13 17:36,700 Block E EL CAMINO REAL,Sunnyvale Department of Public Safety
131214036,Theft,12/14/13 0:00,1900 Block SANTA ROSA CT,Santa Clara City Police Department
130009870,Theft,12/14/13 10:12,1000 Block REED AV,Sunnyvale Department of Public Safety
130009871,Theft from Vehicle,12/14/13 10:58,1000 Block REED AV,Sunnyvale Department of Public Safety
130009874,Breaking & Entering,12/14/13 11:23,200 Block E MAUDE AV,Sunnyvale Department of Public Safety
130009877,Theft,12/14/13 13:00,700 Block S BERNARDO AV,Sunnyvale Department of Public Safety
130009880,Theft,12/14/13 15:28,700 Block SUNNYVALE SARATOGA RD,Sunnyvale Department of Public Safety
13-06986,Theft,12/14/13 16:00,900 Block CASTRO ST,Mountain View Police Department
130009883,Assault,12/14/13 17:33,700 Block E EL CAMINO REAL,Sunnyvale Department of Public Safety
130009882,Theft,12/14/13 17:43,1000 Block E ARQUES AV,Sunnyvale Department of Public Safety
130012521,Theft,12/15/13 0:00,3300 Block SCOTT BLVD,Santa Clara City Police Department
130012518,Theft,12/15/13 0:00,2400 Block PACIFIC DR,Santa Clara City Police Department
130009890,Assault,12/15/13 0:14,100 Block S MURPHY AV,Sunnyvale Department of Public Safety
130009893,Robbery,12/15/13 1:33,700 Block E EL CAMINO REAL,Sunnyvale Department of Public Safety
131215-0725,Breaking & Entering,12/15/13 12:15,1100 Block COVINGTON RD,Los Altos Police Department
130009899,Theft,12/15/13 13:13,200 Block S BERNARDO AV,Sunnyvale Department of Public Safety
138000804,Theft,12/15/13 22:39,800 Block CARLISLE WAY,Sunnyvale Department of Public Safety
130012553,Vehicle Recovery,12/16/13 0:00,MIRAMAR WAY & TERSTENA PL,Santa Clara City Police Department
131216056,Vehicle Recovery,12/16/13 0:00,MIRAMAR WAY & TERSTENA PL,Santa Clara City Police Department
130012547,Theft,12/16/13 0:00,3400 Block AGATE DR,Santa Clara City Police Department
130012586,Assault,12/16/13 0:00,3500 Block MONROE ST,Santa Clara City Police Department
S133500034,Assault,12/16/13 4:36,1 Block BLOCK GRANT RD,Santa Clara County Sheriff's Office
138000803,Theft,12/16/13 11:02,700 Block SUNNYVALE SARATOGA RD,Sunnyvale Department of Public Safety
13-07013,Theft,12/16/13 11:11,1100 Block CASTRO ST,Mountain View Police Department
13-07036,Theft from Vehicle,12/16/13 11:27,600 Block CUESTA DR,Mountain View Police Department
130009915,Assault,12/16/13 11:42,1000 Block MANGO AV,Sunnyvale Department of Public Safety
130009922,Theft,12/16/13 14:46,700 Block SHASTA FIR DR,Sunnyvale Department of Public Safety
130009928,Assault,12/16/13 16:43,1300 Block SUNNYVALE SARATOGA RD,Sunnyvale Department of Public Safety
131217-0810,Breaking & Entering,12/16/13 17:30,1600 Block OAK AV,Los Altos Police Department
13-07023,Assault,12/16/13 19:52,1000 Block MIRAMONTE AV,Mountain View Police Department
130009934,Theft,12/16/13 21:30,100 Block HOLLY TE,Sunnyvale Department of Public Safety
138000811,Theft,12/16/13 21:55,400 Block SEQUOIA DR,Sunnyvale Department of Public Safety
131217190,Theft,12/17/13 0:00,3100 Block SAN JUAN AV,Santa Clara City Police Department
131217227,Theft,12/17/13 0:00,3700 Block EL CAMINO REAL,Santa Clara City Police Department
130012601,Theft,12/17/13 0:00,3100 Block SAN JUAN AV,Santa Clara City Police Department
130012630,Theft,12/17/13 0:00,3700 Block EL CAMINO REAL,Santa Clara City Police Department
130012628,Assault,12/17/13 0:00,3700 Block EL CAMINO REAL,Santa Clara City Police Department
131217066,Theft,12/17/13 0:00,3500 Block EL CAMINO REAL,Santa Clara City Police Department
130012605,Theft,12/17/13 0:00,3500 Block EL CAMINO REAL,Santa Clara City Police Department
130012623,Theft,12/17/13 0:00,3100 Block SAN JUAN AV,Santa Clara City Police Department
130009936,Theft,12/17/13 0:46,600 Block E EL CAMINO REAL,Sunnyvale Department of Public Safety
13-07033,Theft,12/17/13 9:01,1600 Block NILDA AV,Mountain View Police Department
130009944,Other Sexual Offense,12/17/13 11:44,200 Block JACKSON ST,Sunnyvale Department of Public Safety
130009946,Other Sexual Offense,12/17/13 12:39,500 Block S MURPHY AV,Sunnyvale Department of Public Safety
138000815,Theft,12/17/13 15:53,900 Block E.ARQUES AVE,Sunnyvale Department of Public Safety
138000816,Theft from Vehicle,12/17/13 16:50,1200 Block S WOLFE RD,Sunnyvale Department of Public Safety
13-07046,Theft of Vehicle,12/17/13 16:57,700 Block E EL CAMINO REAL,Mountain View Police Department
130009956,Theft,12/17/13 17:36,1000 Block E ARQUES AV,Sunnyvale Department of Public Safety
13-07048,Theft,12/17/13 18:25,400 Block MAGRITTE WAY,Mountain View Police Department
13-07057,Theft,12/17/13 18:52,1600 Block ALISON AV,Mountain View Police Department
130009963,Assault,12/17/13 20:52,1000 Block E ARQUES AV,Sunnyvale Department of Public Safety
130009971,Theft,12/18/13 6:59,1000 Block E ARQUES AV,Sunnyvale Department of Public Safety
130009991,Theft,12/18/13 14:40,700 Block SUNNYVALE SARATOGA RD,Sunnyvale Department of Public Safety
130009995,Theft,12/18/13 17:30,100 Block E EL CAMINO REAL,Sunnyvale Department of Public Safety
130009994,Theft,12/18/13 17:50,500 Block E EL CAMINO REAL,Sunnyvale Department of Public Safety
130010005,Theft,12/18/13 21:18,600 Block S FAIR OAKS AV,Sunnyvale Department of Public Safety
130009999,Theft,12/18/13 21:34,300 Block DUNSMUIR TE,Sunnyvale Department of Public Safety
130010002,Theft from Vehicle,12/18/13 21:48,300 Block W EL CAMINO REAL,Sunnyvale Department of Public Safety
130010003,Theft from Vehicle,12/18/13 22:17,1000 Block E EL CAMINO REAL,Sunnyvale Department of Public Safety
130050891,Theft,12/19/13 0:00,3500 Block GRANADA AVE,Santa Clara City Police Department
130012705,Theft,12/19/13 0:00,3700 Block EL CAMINO REAL,Santa Clara City Police Department
130012696,Theft,12/19/13 0:00,2900 Block SAN YSIDRO WAY,Santa Clara City Police Department
131219109,Theft,12/19/13 0:00,2900 Block SAN YSIDRO WAY,Santa Clara City Police Department
131219144,Theft,12/19/13 0:00,3300 Block CABRILLO AV,Santa Clara City Police Department
130012699,Theft,12/19/13 0:00,2800 Block LAKESIDE DR,Santa Clara City Police Department
130012693,Breaking & Entering,12/19/13 0:00,2900 Block LAKESIDE DR,Santa Clara City Police Department
131219105,Breaking & Entering,12/19/13 0:00,2900 Block LAKESIDE DR,Santa Clara City Police Department
131219120,Theft,12/19/13 0:00,2800 Block LAKESIDE DR,Santa Clara City Police Department
131219149,Theft,12/19/13 0:00,3700 Block EL CAMINO REAL,Santa Clara City Police Department
131219097,Theft,12/19/13 0:00,2900 Block LAKESIDE DR,Santa Clara City Police Department
13-07089,Breaking & Entering,12/19/13 17:02,800 Block HIGH SCHOOL WAY,Mountain View Police Department
130010024,Breaking & Entering,12/19/13 17:55,200 Block LEOTA AV,Sunnyvale Department of Public Safety
130010027,Theft,12/19/13 21:08,100 Block E EL CAMINO REAL,Sunnyvale Department of Public Safety
130010030,Breaking & Entering,12/19/13 23:47,400 Block VINE AV,Sunnyvale Department of Public Safety
130012744,Theft,12/20/13 0:00,3500 Block EL CAMINO REAL,Santa Clara City Police Department
130012733,Assault,12/20/13 0:00,ALPINE AV & EL CAMINO REAL,Santa Clara City Police Department
131220190,Robbery,12/20/13 0:00,3500 Block EL CAMINO REAL,Santa Clara City Police Department
130012741,Theft,12/20/13 0:00,3200 Block CENTRAL EXPY,Santa Clara City Police Department
131220195,Theft,12/20/13 0:00,3200 Block CENTRAL EXPY,Santa Clara City Police Department
130012724,Theft,12/20/13 0:00,2100 Block SAN ANTONIO PL,Santa Clara City Police Department
131220201,Theft,12/20/13 0:00,3500 Block EL CAMINO REAL,Santa Clara City Police Department
130012737,Breaking & Entering,12/20/13 0:00,3600 Block BUCKLEY ST,Santa Clara City Police Department
130012750,Theft,12/20/13 0:00,3700 Block EL CAMINO REAL,Santa Clara City Police Department
131220216,Theft,12/20/13 0:00,3700 Block EL CAMINO REAL,Santa Clara City Police Department
130012742,Robbery,12/20/13 0:00,3500 Block EL CAMINO REAL,Santa Clara City Police Department
131220164,Breaking & Entering,12/20/13 0:00,3600 Block BUCKLEY ST,Santa Clara City Police Department
130010041,Assault,12/20/13 12:33,SUNNYVALE,Sunnyvale Department of Public Safety
130010046,Theft,12/20/13 13:22,200 Block W WASHINGTON AV,Sunnyvale Department of Public Safety
13-07100,Breaking & Entering,12/20/13 15:43,1000 Block GRANT RD,Mountain View Police Department
130010054,Theft,12/20/13 17:49,900 Block W EVELYN AV,Sunnyvale Department of Public Safety
130010057,Theft,12/20/13 19:15,100 Block LAWRENCE STATION RD,Sunnyvale Department of Public Safety
130012783,Breaking & Entering,12/21/13 0:00,3000 Block LAKESIDE DR,Santa Clara City Police Department
130012769,Theft,12/21/13 0:00,3000 Block ORTHELLO WAY,Santa Clara City Police Department
131221051,Theft,12/21/13 0:00,3000 Block ORTHELLO WAY,Santa Clara City Police Department
131221104,Breaking & Entering,12/21/13 0:00,3000 Block LAKESIDE DR,Santa Clara City Police Department
131221117,Theft,12/21/13 0:00,CABRILLO AV & FRANCIS AV,Santa Clara City Police Department
131221124,Theft,12/21/13 0:00,3100 Block EL CAMINO REAL,Santa Clara City Police Department
130010067,Assault,12/21/13 4:37,900 Block HELEN AV,Sunnyvale Department of Public Safety
130010070,Breaking & Entering,12/21/13 12:00,400 Block N SUNNYVALE AV,Sunnyvale Department of Public Safety
131224-1187,Breaking & Entering,12/21/13 23:00,900 Block FREMONT AV,Los Altos Police Department
131222117,Theft,12/22/13 0:00,1700 Block ANDREA PL,Santa Clara City Police Department
131222151,Theft,12/22/13 0:00,2000 Block WHITE OAK LN,Santa Clara City Police Department
131222138,Theft,12/22/13 0:00,2500 Block AMETHYST DR,Santa Clara City Police Department
130012813,Theft,12/22/13 0:00,2500 Block AMETHYST DR,Santa Clara City Police Department
130010092,Theft,12/22/13 13:13,1100 Block S BERNARDO AV,Sunnyvale Department of Public Safety
130010093,Theft,12/22/13 14:37,600 Block S BERNARDO AV,Sunnyvale Department of Public Safety
130010099,Theft,12/22/13 19:42,600 Block S BERNARDO AV,Sunnyvale Department of Public Safety
130050894,Theft,12/23/13 0:00,2900 Block BARKLEY AV,Santa Clara City Police Department
130012838,Theft,12/23/13 0:00,HALFORD AV & MIRAMAR WAY,Santa Clara City Police Department
130010111,Theft,12/23/13 8:26,400 Block S BERNARDO AV,Sunnyvale Department of Public Safety
13-07144,Theft,12/23/13 9:10,1000 Block MARILYN DR,Mountain View Police Department
13-07150,Theft,12/23/13 9:28,600 Block LOLA LN,Mountain View Police Department
130010126,Theft,12/23/13 12:30,1000 Block ASTER AV,Sunnyvale Department of Public Safety
130010123,Breaking & Entering,12/23/13 13:10,800 Block W MC KINLEY AV,Sunnyvale Department of Public Safety
130012861,Theft,12/24/13 0:00,3400 Block GRANADA AV,Santa Clara City Police Department
130050895,Theft,12/24/13 0:00,2000 Block BROWN AV,Santa Clara City Police Department
131224-1175,Theft,12/24/13 9:29,DARTMOUTH LN & RUNNYMEAD DR,Los Altos Police Department
130010140,Breaking & Entering,12/24/13 9:54,200 Block W WASHINGTON AV,Sunnyvale Department of Public Safety
130010141,Theft,12/24/13 10:41,900 Block ARLINGTON CT,Sunnyvale Department of Public Safety
13-07174,Theft,12/24/13 13:40,800 Block E EL CAMINO REAL,Mountain View Police Department
13-07177,Theft,12/24/13 14:57,600 Block W EL CAMINO REAL,Mountain View Police Department
130010150,Theft,12/24/13 16:13,400 Block N MATHILDA AV,Sunnyvale Department of Public Safety
130010151,Theft,12/24/13 16:13,400 Block N MATHILDA AV,Sunnyvale Department of Public Safety
14-00394,Theft,12/24/13 21:11,1500 Block W EL CAMINO REAL,Mountain View Police Department
130012881,Theft,12/25/13 0:00,2600 Block AGATE CT,Santa Clara City Police Department
131225038,Theft,12/25/13 0:00,2600 Block AGATE CT,Santa Clara City Police Department
130010165,Theft from Vehicle,12/25/13 13:19,600 Block S FAIR OAKS AV,Sunnyvale Department of Public Safety
130010172,Theft,12/25/13 22:20,900 Block SUTTER AV,Sunnyvale Department of Public Safety
130012916,Theft,12/26/13 0:00,3700 Block EL CAMINO REAL,Santa Clara City Police Department
130012904,Theft,12/26/13 0:00,3300 Block FOWLER AV,Santa Clara City Police Department
131226151,Theft,12/26/13 0:00,3700 Block EL CAMINO REAL,Santa Clara City Police Department
130010183,Theft,12/26/13 15:10,700 Block ALL AMERICA WY,Sunnyvale Department of Public Safety
130010188,Theft,12/26/13 21:42,1000 Block POLK AV,Sunnyvale Department of Public Safety
130010191,Theft,12/26/13 21:58,1000 Block POLK AV,Sunnyvale Department of Public Safety
131227210,Breaking & Entering,12/27/13 0:00,1500 Block ALPINE AV,Santa Clara City Police Department
130012922,Theft,12/27/13 0:00,1300 Block VIA DONDERA,Santa Clara City Police Department
130012952,Breaking & Entering,12/27/13 0:00,1500 Block ALPINE AV,Santa Clara City Police Department
131227026,Vehicle Recovery,12/27/13 0:00,1300 Block VIA DONDERA,Santa Clara City Police Department
130010194,Theft from Vehicle,12/27/13 2:53,1000 Block E EVELYN TE,Sunnyvale Department of Public Safety
130010195,Theft,12/27/13 6:08,500 Block N FAIR OAKS AV,Sunnyvale Department of Public Safety
13-07210,Theft,12/27/13 9:01,800 Block E EL CAMINO REAL,Mountain View Police Department
131227-1312,Breaking & Entering,12/27/13 13:34,1500 Block TRUMAN AV,Los Altos Police Department
130010216,Theft from Vehicle,12/27/13 22:51,700 Block S MATHILDA AV,Sunnyvale Department of Public Safety
131228135,Theft,12/28/13 0:00,3700 Block EL CAMINO REAL,Santa Clara City Police Department
131228003,Theft,12/28/13 0:00,1300 Block POMEROY AV,Santa Clara City Police Department
