Identifier,Crime Type,Date/Time,Address,Agency
133520070,Theft,12/18/13 9:17,700 Block EMERSON,Palo Alto Police Department
S133520210,Breaking & Entering,12/18/13 13:31,500 Block LASUEN ST,Santa Clara County Sheriff's Office
133520157,Assault,12/18/13 13:35,3400 Block ROSS,Palo Alto Police Department
13-07068,Theft from Vehicle,12/18/13 17:42,2600 Block TERMINAL BLVD,Mountain View Police Department
133520233,Breaking & Entering,12/18/13 19:09,100 Block EL CAMINO REAL,Palo Alto Police Department
133520254,Breaking & Entering,12/18/13 20:24,400 Block BRYANT,Palo Alto Police Department
S133520453,Breaking & Entering,12/18/13 22:46,1 Block BLOCK SERRA ST,Santa Clara County Sheriff's Office
133530072,Theft,12/19/13 10:40,100 Block MIDDLEFIELD,Palo Alto Police Department
S133530136,Theft,12/19/13 11:00,1 Block BLOCK SERRA ST,Santa Clara County Sheriff's Office
133530142,Assault,12/19/13 15:09,PASTEUR DR AND SAND HILL SAND HILL,Palo Alto Police Department
E13-354-02,Theft,12/19/13 15:30,1700 Block WOODLAND DRIVE,East Palo Alto Police Department
S133530236,Theft,12/19/13 15:30,1 Block BLOCK SERRA ST,Santa Clara County Sheriff's Office
Nov-90,Theft,12/19/13 19:35,1100 Block WOODLAND AV,Menlo Park Police Department
Nov-94,Assault,12/19/13 21:51,1900 Block SANTA CRUZ AV,Menlo Park Police Department
133530260,Assault,12/19/13 22:11,100 Block PRIMROSE WAY,Palo Alto Police Department
133530284,Breaking & Entering,12/19/13 23:56,400 Block BRYANT,Palo Alto Police Department
E14-002-07,Theft,12/20/13 0:01,1700 Block WOODLAND AV,East Palo Alto Police Department
13-07095,Breaking & Entering,12/20/13 5:39,2400 Block CHARLESTON RD,Mountain View Police Department
133540069,Theft,12/20/13 10:47,800 Block EL CAMINO REAL,Palo Alto Police Department
E13-361-03,Theft,12/20/13 13:00,1 Block NEWELL ROAD,East Palo Alto Police Department
133540113,Vehicle Recovery,12/20/13 14:34,400 Block CALIFORNIA AV,Palo Alto Police Department
S133540241,Theft,12/20/13 16:22,1 Block BLOCK SERRA ST,Santa Clara County Sheriff's Office
13-07103,Theft,12/20/13 16:58,2600 Block BAYSHORE PKWY,Mountain View Police Department
133540169,Breaking & Entering,12/20/13 19:25,500 Block HIGH,Palo Alto Police Department
133540191,Breaking & Entering,12/20/13 20:50,500 Block WEBSTER,Palo Alto Police Department
133540192,Breaking & Entering,12/20/13 20:56,500 Block COWPER,Palo Alto Police Department
133540194,Breaking & Entering,12/20/13 20:59,400 Block EMERSON,Palo Alto Police Department
133540210,Breaking & Entering,12/20/13 22:16,400 Block BRYANT,Palo Alto Police Department
133540229,Theft,12/20/13 23:41,100 Block EL CAMINO REAL,Palo Alto Police Department
133550115,Breaking & Entering,12/21/13 13:09,600 Block E MEADOW DR,Palo Alto Police Department
133550117,Theft,12/21/13 13:19,3400 Block BRYANT,Palo Alto Police Department
133550156,Theft,12/21/13 16:43,2700 Block EMBARCADERO,Palo Alto Police Department
133560074,Theft,12/22/13 10:23,2300 Block WELLESLEY,Palo Alto Police Department
133560115,Breaking & Entering,12/22/13 14:35,2300 Block EMBARCADERO,Palo Alto Police Department
133560121,Theft,12/22/13 15:20,2000 Block YALE,Palo Alto Police Department
133570038,Assault,12/23/13 9:29,2300 Block CARMEL DR,Palo Alto Police Department
133570102,Other Sexual Offense,12/23/13 14:37,2300 Block BLOCK PARK BLVD,Palo Alto Police Department
29-Nov,Theft,12/23/13 16:15,1000 Block MIDDLE AV,Menlo Park Police Department
13-07162,Theft from Vehicle,12/23/13 16:56,SAN ANTONIO RD & TERMINAL BLVD,Mountain View Police Department
30-Nov,Theft,12/23/13 17:45,1100 Block BAY LAUREL DR,Menlo Park Police Department
133570206,Assault,12/23/13 23:52,3000 Block EMERSON,Palo Alto Police Department
133580074,Theft,12/24/13 11:32,100 Block EL CAMINO REAL,Palo Alto Police Department
133580110,Breaking & Entering,12/24/13 15:23,500 Block JACKSON DR,Palo Alto Police Department
133580115,Theft,12/24/13 15:38,100 Block EL CAMINO REAL,Palo Alto Police Department
133580122,Theft,12/24/13 16:35,200 Block CALIFORNIA AV,Palo Alto Police Department
Nov-45,Theft,12/24/13 17:09,800 Block SANTA CRUZ AV,Menlo Park Police Department
133580172,Breaking & Entering,12/24/13 21:34,400 Block FLORENCE,Palo Alto Police Department
133580182,Breaking & Entering,12/24/13 22:31,400 Block KIPLING,Palo Alto Police Department
Nov-50,Theft,12/25/13 0:00,2100 Block SANTA CRUZ AV,Menlo Park Police Department
E13-359-03,Breaking & Entering,12/25/13 23:00,1900 Block EUCLID AVENUE,East Palo Alto Police Department
133600048,Theft,12/26/13 9:45,700 Block EMERSON,Palo Alto Police Department
E13-361-06,Theft,12/26/13 18:30,1100 Block LAUREL STREET,East Palo Alto Police Department
14-00345,Theft from Vehicle,12/26/13 19:08,2400 Block CHARLESTON RD,Mountain View Police Department
133600206,Theft,12/26/13 22:34,700 Block WEBSTER,Palo Alto Police Department
133600215,Assault,12/26/13 23:05,700 Block EL CAMINO REAL,Palo Alto Police Department
133610144,Theft,12/27/13 17:02,800 Block EL CAMINO REAL,Palo Alto Police Department
133610171,Theft,12/27/13 20:05,100 Block EL CAMINO REAL,Palo Alto Police Department
133610192,Breaking & Entering,12/27/13 21:24,400 Block EMERSON,Palo Alto Police Department
133610196,Vehicle Recovery,12/27/13 21:32,MIDDLEFIELD AND UNIVERSITY AV UNIVERSITY AV,Palo Alto Police Department
133620044,Assault,12/28/13 3:34,100 Block CALIFORNIA AV,Palo Alto Police Department
133620124,Vehicle Recovery,12/28/13 15:08,400 Block CALIFORNIA AV,Palo Alto Police Department
133620146,Breaking & Entering,12/28/13 17:31,2700 Block EMBARCADERO,Palo Alto Police Department
13-07228,Theft from Vehicle,12/28/13 17:46,2600 Block TERMINAL BLVD,Mountain View Police Department
13-07230,Theft from Vehicle,12/28/13 18:20,2600 Block TERMINAL BLVD,Mountain View Police Department
133620166,Theft,12/28/13 20:14,100 Block EL CAMINO REAL,Palo Alto Police Department
133620172,Theft,12/28/13 21:17,100 Block EL CAMINO REAL,Palo Alto Police Department
133620192,Breaking & Entering,12/28/13 22:33,EVERETT AV AND EMERSON EMERSON,Palo Alto Police Department
133630045,Breaking & Entering,12/29/13 8:23,800 Block COMMERCIAL,Palo Alto Police Department
133630047,Breaking & Entering,12/29/13 8:31,2000 Block BARBARA DR,Palo Alto Police Department
133630054,Breaking & Entering,12/29/13 9:31,800 Block SOUTHAMPTON DR,Palo Alto Police Department
133630057,Breaking & Entering,12/29/13 9:59,800 Block NORTHAMPTON DR,Palo Alto Police Department
133630066,Breaking & Entering,12/29/13 10:57,2000 Block BARBARA DR,Palo Alto Police Department
133630095,Theft,12/29/13 15:09,200 Block UNIVERSITY AV,Palo Alto Police Department
133630105,Breaking & Entering,12/29/13 16:49,400 Block FLORENCE,Palo Alto Police Department
133640083,Theft,12/30/13 12:21,300 Block PASTEUR DR,Palo Alto Police Department
133640104,Assault,12/30/13 13:56,700 Block ALMA,Palo Alto Police Department
133640128,Theft,12/30/13 15:19,300 Block UNIVERSITY AV,Palo Alto Police Department
133640134,Breaking & Entering,12/30/13 15:43,2700 Block EMBARCADERO,Palo Alto Police Department
133640151,Theft,12/30/13 17:30,100 Block EL CAMINO REAL,Palo Alto Police Department
133640157,Theft,12/30/13 17:51,100 Block EL CAMINO REAL,Palo Alto Police Department
133640177,Breaking & Entering,12/30/13 20:22,500 Block HIGH,Palo Alto Police Department
133640193,Theft,12/30/13 21:50,600 Block EMERSON,Palo Alto Police Department
133640196,Theft,12/30/13 22:05,RAMONA AND E MEADOW DR MEADOW DR,Palo Alto Police Department
Nov-96,Breaking & Entering,12/31/13 0:00,1000 Block UNIVERSITY DR,Menlo Park Police Department
133650079,Theft,12/31/13 11:18,100 Block EL CAMINO REAL,Palo Alto Police Department
133650139,Vehicle Recovery,12/31/13 16:36,400 Block BLOCK RUTHVEN AV,Palo Alto Police Department
E13-365-08,Breaking & Entering,12/31/13 19:30,1100 Block OCONNOR ST,East Palo Alto Police Department
133650162,Breaking & Entering,12/31/13 21:15,300 Block HAMILTON AV,Palo Alto Police Department
140320007,Vehicle Recovery,2/1/14 0:34,300 Block UNIVERSITY AV,Palo Alto Police Department
140320064,Breaking & Entering,2/1/14 11:00,1700 Block OAK CREEK DR,Palo Alto Police Department
S140320220,Theft,2/1/14 13:21,1 Block BLOCK SERRA ST,Santa Clara County Sheriff's Office
140320100,Vehicle Recovery,2/1/14 14:02,700 Block GREER,Palo Alto Police Department
140320112,Breaking & Entering,2/1/14 14:36,1700 Block SAND HILL,Palo Alto Police Department
140320134,Theft,2/1/14 16:48,100 Block EL CAMINO REAL,Palo Alto Police Department
140320145,Breaking & Entering,2/1/14 18:27,1600 Block SAND HILL,Palo Alto Police Department
140320151,Breaking & Entering,2/1/14 19:23,1600 Block SAND HILL,Palo Alto Police Department
140320159,Theft,2/1/14 20:02,100 Block EL CAMINO REAL,Palo Alto Police Department
11-0339,Theft,2/2/14 1:46,1800 Block WHITE OAK DR,Menlo Park Police Department
140330042,Theft,2/2/14 8:48,100 Block EL CAMINO REAL F190,Palo Alto Police Department
S140330200,Theft,2/2/14 13:24,700 Block ESCONDIDO RD,Santa Clara County Sheriff's Office
140340041,Breaking & Entering,2/3/14 8:40,1700 Block SAND HILL,Palo Alto Police Department
E14-043-12,Breaking & Entering,2/3/14 10:00,1900 Block TATE STREET,East Palo Alto Police Department
140340099,Breaking & Entering,2/3/14 13:01,1500 Block OAK CREEK DR,Palo Alto Police Department
S140340245,Theft,2/3/14 13:13,1 Block BLOCK SERRA ST,Santa Clara County Sheriff's Office
140340112,Breaking & Entering,2/3/14 13:59,1700 Block SAND HILL,Palo Alto Police Department
S140340321,Theft,2/3/14 15:34,1 Block BLOCK SERRA ST,Santa Clara County Sheriff's Office
140340205,Assault,2/3/14 21:03,900 Block BRYANT,Palo Alto Police Department
S140340452,Theft,2/3/14 21:55,400 Block LOMITA MALL,Santa Clara County Sheriff's Office
E14-009-03,Theft,2/4/14 0:00,1900 Block E BAYSHORE RD,East Palo Alto Police Department
E14-006-06,Theft,2/4/14 0:00,400 Block LARKSPUR DR,East Palo Alto Police Department
140350011,Theft,2/4/14 2:40,2200 Block EL CAMINO REAL,Palo Alto Police Department
E14-034-12,Breaking & Entering,2/4/14 10:00,1900 Block TATE STREET,East Palo Alto Police Department
140350074,Vehicle Recovery,2/4/14 11:03,1200 Block SAN ANTONIO,Palo Alto Police Department
140350111,Theft,2/4/14 13:55,100 Block EL CAMINO REAL,Palo Alto Police Department
140350112,Theft,2/4/14 13:57,100 Block EL CAMINO REAL,Palo Alto Police Department
140350117,Theft,2/4/14 14:27,100 Block EL CAMINO REAL,Palo Alto Police Department
S140350470,Theft of Vehicle,2/4/14 19:35,600 Block CAMPUS DR,Santa Clara County Sheriff's Office
140350197,Theft,2/4/14 20:06,100 Block EL CAMINO REAL,Palo Alto Police Department
S140350513,Breaking & Entering,2/4/14 21:10,1 Block HOSKINS CT,Santa Clara County Sheriff's Office
S140350514,Breaking & Entering,2/4/14 21:10,1 Block OLMSTED RD,Santa Clara County Sheriff's Office
140360082,Other Sexual Offense,2/5/14 10:18,100 Block HOMER AV,Palo Alto Police Department
140360135,Theft,2/5/14 13:24,500 Block WAVERLEY,Palo Alto Police Department
140360141,Theft,2/5/14 13:47,500 Block E MEADOW DR,Palo Alto Police Department
S140360302,Theft,2/5/14 14:09,600 Block CROTHERS WAY,Santa Clara County Sheriff's Office
140360175,Theft,2/5/14 16:01,100 Block EL CAMINO REAL,Palo Alto Police Department
S140360406,Theft,2/5/14 16:26,0 BLOCK PALM DR,Santa Clara County Sheriff's Office
S140360442,Theft,2/5/14 17:28,1 Block BLOCK SERRA ST,Santa Clara County Sheriff's Office
140360198,Theft,2/5/14 18:03,300 Block UNIVERSITY AV,Palo Alto Police Department
140360211,Theft,2/5/14 19:25,300 Block UNIVERSITY AV,Palo Alto Police Department
140360219,Breaking & Entering,2/5/14 20:17,3200 Block MIDDLEFIELD,Palo Alto Police Department
S140370033,Vehicle Recovery,2/6/14 4:15,LASUEN ST,Santa Clara County Sheriff's Office
140370024,Theft,2/6/14 6:05,400 Block WAVERLEY,Palo Alto Police Department
S140370060,Theft,2/6/14 8:16,600 Block SERRA ST,Santa Clara County Sheriff's Office
140370040,Theft,2/6/14 8:27,300 Block SHERIDAN AV,Palo Alto Police Department
S140370177,Theft,2/6/14 11:38,500 Block ESCONDIDO RD,Santa Clara County Sheriff's Office
140370103,Theft,2/6/14 13:01,200 Block HAMILTON AV,Palo Alto Police Department
11-0392,Theft,2/6/14 18:27,500 Block EL CAMINO REAL,Menlo Park Police Department
E14-038-08,Theft,2/7/14 16:06,1900 Block MANHATTAN AVE,East Palo Alto Police Department
140380144,Theft,2/7/14 19:40,100 Block EL CAMINO REAL,Palo Alto Police Department
140380159,Assault,2/7/14 21:24,100 Block EL CAMINO REAL,Palo Alto Police Department
140390070,Vehicle Recovery,2/8/14 14:40,400 Block EMERSON,Palo Alto Police Department
140390072,Theft,2/8/14 14:42,100 Block EL CAMINO REAL,Palo Alto Police Department
11-0406,Theft,2/8/14 14:45,500 Block EL CAMINO REAL,Menlo Park Police Department
S140390243,Breaking & Entering,2/8/14 15:46,500 Block LASUEN MALL,Santa Clara County Sheriff's Office
140390080,Breaking & Entering,2/8/14 15:57,800 Block EL CAMINO REAL,Palo Alto Police Department
140390105,Breaking & Entering,2/8/14 19:21,800 Block EL CAMINO REAL,Palo Alto Police Department
140390123,Sexual Assault,2/8/14 21:23,300 Block CALIFORNIA AV,Palo Alto Police Department
E14-040-06,Breaking & Entering,2/9/14 10:00,200 Block GARDENIA WAY,East Palo Alto Police Department
140400038,Assault,2/9/14 10:02,400 Block LYTTON AV,Palo Alto Police Department
140400045,Assault,2/9/14 10:34,200 Block FOREST AV,Palo Alto Police Department
140400090,Theft,2/9/14 15:16,100 Block EL CAMINO REAL,Palo Alto Police Department
140400091,Theft,2/9/14 15:20,100 Block EL CAMINO REAL,Palo Alto Police Department
11-0416,Theft,2/10/14 2:19,500 Block EL CAMINO REAL,Menlo Park Police Department
14-00757,Theft of Vehicle,2/10/14 8:44,2600 Block MARINE WAY,Mountain View Police Department
140410082,Theft,2/10/14 10:14,400 Block PORTAGE AV,Palo Alto Police Department
140410085,Vehicle Recovery,2/10/14 10:34,RAMONA AND LINCOLN AV LINCOLN AV,Palo Alto Police Department
140410099,Vehicle Recovery,2/10/14 11:30,900 Block INDUSTRIAL AV,Palo Alto Police Department
140410108,Theft,2/10/14 11:49,400 Block WAVERLEY,Palo Alto Police Department
11-0418,Theft,2/10/14 13:12,1300 Block JOHNSON ST,Menlo Park Police Department
S140410247,Theft,2/10/14 13:56,1 Block BLOCK SERRA ST,Santa Clara County Sheriff's Office
11-0422,Theft,2/10/14 23:30,300 Block WAVERLEY ST,Menlo Park Police Department
S140410479,Breaking & Entering,2/10/14 23:50,1 Block DUDLEY LN,Santa Clara County Sheriff's Office
11-0431,Breaking & Entering,2/11/14 11:45,400 Block COTTON ST,Menlo Park Police Department
S140420345,Theft,2/11/14 16:12,600 Block ESCONDIDO RD,Santa Clara County Sheriff's Office
140420217,Theft,2/11/14 17:59,100 Block EL CAMINO REAL,Palo Alto Police Department
140420231,Theft,2/11/14 19:21,100 Block EL CAMINO REAL,Palo Alto Police Department
14-00803,Theft from Vehicle,2/11/14 21:26,2400 Block CHARLESTON RD,Mountain View Police Department
140420266,Breaking & Entering,2/11/14 22:20,500 Block COWPER,Palo Alto Police Department
140420267,Breaking & Entering,2/11/14 22:26,500 Block COWPER,Palo Alto Police Department
140430059,Theft,2/12/14 9:17,200 Block UNIVERSITY AV,Palo Alto Police Department
140430130,Breaking & Entering,2/12/14 12:48,1200 Block BRYANT,Palo Alto Police Department
140430145,Theft,2/12/14 14:01,1200 Block BRYANT,Palo Alto Police Department
140430174,Theft,2/12/14 15:38,100 Block EL CAMINO REAL,Palo Alto Police Department
S140430349,Theft,2/12/14 16:17,1 Block BLOCK SERRA ST,Santa Clara County Sheriff's Office
140430193,Assault,2/12/14 16:26,500 Block SAND HILL,Palo Alto Police Department
140430208,Theft,2/12/14 17:37,400 Block WAVERLEY,Palo Alto Police Department
11-0448,Theft from Vehicle,2/12/14 18:00,1100 Block EL CAMINO REAL,Menlo Park Police Department
140430257,Assault,2/12/14 22:44,2700 Block MIDTOWN CT,Palo Alto Police Department
S140440016,Breaking & Entering,2/13/14 1:13,200 Block AYRSHIRE FARM LN,Santa Clara County Sheriff's Office
S140440145,Breaking & Entering,2/13/14 11:07,1 Block HULME CT,Santa Clara County Sheriff's Office
140440084,Theft,2/13/14 11:15,900 Block ALMA,Palo Alto Police Department
140440095,Theft,2/13/14 11:59,500 Block WAVERLEY,Palo Alto Police Department
11-0461,Breaking & Entering,2/13/14 13:00,100 Block SAN MATEO DR,Menlo Park Police Department
11-0453,Theft,2/13/14 14:00,800 Block ALMA STREET,Menlo Park Police Department
140010066,Breaking & Entering,1/1/14 12:13,1100 Block HAMILTON AV,Palo Alto Police Department
140010067,Breaking & Entering,1/1/14 12:15,1100 Block HAMILTON AV,Palo Alto Police Department
14-00789,Theft from Vehicle,1/1/14 13:06,2600 Block TERMINAL BLVD,Mountain View Police Department
E14-002-04,Theft,1/2/14 10:30,1800 Block E BAYSHORE,East Palo Alto Police Department
140020133,Breaking & Entering,1/2/14 15:03,400 Block BRYANT,Palo Alto Police Department
140020176,Breaking & Entering,1/2/14 18:51,200 Block HAMILTON AV,Palo Alto Police Department
E14-002-14 (5),Assault,1/2/14 20:15,900 Block GATES ST,East Palo Alto Police Department
140020216,Theft,1/2/14 23:02,100 Block HAMILTON AV,Palo Alto Police Department
11-0024,Theft,1/3/14 0:00,1100 Block BAY LAUREL DR,Menlo Park Police Department
11-0026,Breaking & Entering,1/3/14 0:00,1100 Block EL CAMINO REAL,Menlo Park Police Department
11-0023,Theft,1/3/14 0:00,500 Block OAK KNOLL LN,Menlo Park Police Department
140030060,Breaking & Entering,1/3/14 11:03,2700 Block BLOCK EMBARCADERO,Palo Alto Police Department
140030169,Breaking & Entering,1/3/14 18:54,300 Block HAMILTON AV,Palo Alto Police Department
14-00033,Vehicle Recovery,1/3/14 20:44,2400 Block CHARLESTON RD,Mountain View Police Department
11-0034,Breaking & Entering,1/4/14 0:00,1700 Block STANFORD AV,Menlo Park Police Department
140040090,Theft,1/4/14 13:11,800 Block BLOCK EL CAMINO REAL,Palo Alto Police Department
140040096,Breaking & Entering,1/4/14 13:35,2700 Block EMBARCADERO,Palo Alto Police Department
140040126,Breaking & Entering,1/4/14 15:46,3600 Block BLOCK E BAYSHORE,Palo Alto Police Department
140040143,Vehicle Recovery,1/4/14 16:56,400 Block EMERSON,Palo Alto Police Department
E14-004-08,Robbery,1/4/14 17:08,400 Block E O'KEEFE ST,East Palo Alto Police Department
E14-004-08 (2),Robbery,1/4/14 17:08,400 Block E O'KEEFE ST,East Palo Alto Police Department
E14-005-05,Assault,1/4/14 20:00,1 Block NEWELL COURT,East Palo Alto Police Department
